subj,delay,congruency,granularity,cond,accuracy_gran,accuracy_rel,prop_forgetting,include,CB_order,DK,incorrect,total_forgot,R_enc,UR_enc,DK_perc,incorrect_perc,total_forgot_perc
P101,long,R,fine,Rfine,48.7804878,,0.339103069,1,1,0,14,14,41,39,0,34.14634146,34.14634146
S102,long,R,fine,Rfine,,,,1,1,13,0,13,38,42,34.21052632,0,34.21052632
S103,long,R,fine,Rfine,,,,1,1,6,1,7,30,50,20,3.333333333,23.33333333
S104,long,R,fine,Rfine,,,,1,1,6,1,7,40,40,15,2.5,17.5
S105,long,R,fine,Rfine,68.29268293,,0.172209904,1,1,1,7,8,41,39,2.43902439,17.07317073,19.51219512
S106,long,R,fine,Rfine,26.82926829,,0.53340403,1,1,0,18,18,41,39,0,43.90243902,43.90243902
S107,long,R,fine,Rfine,41.46341463,,0.286829268,1,1,0,14,14,41,39,0,34.14634146,34.14634146
S108,long,R,fine,Rfine,,,,1,1,6,5,11,40,40,15,12.5,27.5
S109,long,R,fine,Rfine,27.5,,0.6734375,1,1,1,15,16,40,40,2.5,37.5,40
S110,long,R,fine,Rfine,70.73170732,,0.087332809,1,1,0,8,8,41,38,0,19.51219512,19.51219512
S111,long,R,fine,Rfine,39.13043478,,0.501976285,1,2,0,14,14,46,34,0,30.43478261,30.43478261
S112,long,R,fine,Rfine,75.6097561,,0.205128205,1,2,0,7,7,41,39,0,17.07317073,17.07317073
S113,long,R,fine,Rfine,37.5,,0.423076923,1,2,0,9,9,40,40,0,22.5,22.5
S114,long,R,fine,Rfine,54.76190476,,0.029220779,1,2,1,10,11,42,38,2.380952381,23.80952381,26.19047619
S115,long,R,fine,Rfine,31.70731707,,0.513066202,1,2,0,13,13,41,39,0,31.70731707,31.70731707
S116,long,R,fine,Rfine,39.02439024,,0.421860885,1,2,1,19,20,41,38,2.43902439,46.34146341,48.7804878
S117,long,R,fine,Rfine,55,,0.405405405,1,2,4,12,16,40,40,10,30,40
S118,long,R,fine,Rfine,30.76923077,,0.554376658,1,2,0,9,9,39,41,0,23.07692308,23.07692308
S119,long,R,fine,Rfine,70,,0.176470588,1,2,3,5,8,40,40,7.5,12.5,20
S120,long,R,fine,Rfine,40.47619048,,0.359126984,1,2,0,22,22,42,38,0,52.38095238,52.38095238
S121,long,R,fine,Rfine,48.7804878,,0.390243903,1,2,0,18,18,41,39,0,43.90243902,43.90243902
S122,long,R,fine,Rfine,47.36842105,,0.440191388,1,2,0,10,10,38,42,0,26.31578947,26.31578947
S123,long,R,fine,Rfine,65,,0.332894737,1,2,5,5,10,40,40,12.5,12.5,25
P101,short,UR,fine,URfine,50,,,1,1,0,6,6,42,38,0,15.78947368,15.78947368
S102,short,UR,fine,URfine,31.70731707,,,1,1,9,1,10,39,41,21.95121951,2.43902439,24.3902439
S103,short,UR,fine,URfine,26.82926829,,,1,1,4,1,5,39,41,9.756097561,2.43902439,12.19512195
S104,short,UR,fine,URfine,48.64864865,,,1,1,4,2,6,43,37,10.81081081,5.405405405,16.21621622
S105,short,UR,fine,URfine,70,,,1,1,0,2,2,40,40,0,5,5
S106,short,UR,fine,URfine,30,,,1,1,6,9,15,40,40,15,22.5,37.5
S107,short,UR,fine,URfine,62.16216216,,,1,1,1,9,10,43,37,2.702702703,24.32432432,27.02702703
S108,short,UR,fine,URfine,65,,,1,1,3,5,8,40,40,7.5,12.5,20
S109,short,UR,fine,URfine,47.61904762,,,1,1,9,5,14,38,42,21.42857143,11.9047619,33.33333333
S110,short,UR,fine,URfine,85,,,1,1,0,3,3,40,40,0,7.5,7.5
S111,short,UR,fine,URfine,81.57894737,,,1,2,0,3,3,42,38,0,7.894736842,7.894736842
S112,short,UR,fine,URfine,94.87179487,,,1,2,0,0,0,41,39,0,0,0
S113,short,UR,fine,URfine,85,,,1,2,0,5,5,40,40,0,12.5,12.5
S114,short,UR,fine,URfine,41.46341463,,,1,2,0,17,17,39,41,0,41.46341463,41.46341463
S115,short,UR,fine,URfine,40.54054054,,,1,2,0,8,8,43,37,0,21.62162162,21.62162162
S116,short,UR,fine,URfine,72.5,,,1,2,1,6,7,40,40,2.5,15,17.5
S117,short,UR,fine,URfine,90,,,1,2,0,4,4,40,40,0,10,10
S118,short,UR,fine,URfine,42.10526316,,,1,2,1,12,13,42,38,2.631578947,31.57894737,34.21052632
S119,short,UR,fine,URfine,87.5,,,1,2,1,1,2,40,40,2.5,2.5,5
S120,short,UR,fine,URfine,28.57142857,,,1,2,0,10,10,38,42,0,23.80952381,23.80952381
S121,short,UR,fine,URfine,52.5,,,1,2,0,4,4,40,40,0,10,10
S122,short,UR,fine,URfine,65.85365854,,,1,2,0,7,7,39,41,0,17.07317073,17.07317073
S123,short,UR,fine,URfine,97.56097561,,,1,2,1,0,1,39,41,2.43902439,0,2.43902439
P101,long,UR,fine,URfine,25.64102564,,0.487179487,1,1,3,3,6,41,39,7.692307692,7.692307692,15.38461538
S102,long,UR,fine,URfine,,,,1,1,13,1,14,38,42,30.95238095,2.380952381,33.33333333
S103,long,UR,fine,URfine,,,,1,1,8,0,8,30,50,16,0,16
S104,long,UR,fine,URfine,,,,1,1,3,1,4,40,40,7.5,2.5,10
S105,long,UR,fine,URfine,20.51282051,,0.706959707,1,1,7,3,10,41,39,17.94871795,7.692307692,25.64102564
S106,long,UR,fine,URfine,23.07692308,,0.230769231,1,1,2,6,8,41,39,5.128205128,15.38461538,20.51282051
S107,long,UR,fine,URfine,23.07692308,,0.628762542,1,1,0,9,9,41,39,0,23.07692308,23.07692308
S108,long,UR,fine,URfine,,,,1,1,5,1,6,40,40,12.5,2.5,15
S109,long,UR,fine,URfine,27.5,,0.4225,1,1,2,8,10,40,40,5,20,25
S110,long,UR,fine,URfine,36.84210526,,0.566563468,1,1,2,5,7,41,38,5.263157895,13.15789474,18.42105263
S111,long,UR,fine,URfine,29.41176471,,0.639468691,1,2,0,8,8,46,34,0,23.52941176,23.52941176
S112,long,UR,fine,URfine,38.46153846,,0.594594595,1,2,0,9,9,41,39,0,23.07692308,23.07692308
S113,long,UR,fine,URfine,40,,0.529411765,1,2,0,7,7,40,40,0,17.5,17.5
S114,long,UR,fine,URfine,34.21052632,,0.1749226,1,2,0,6,6,42,38,0,15.78947368,15.78947368
S115,long,UR,fine,URfine,28.20512821,,0.304273504,1,2,0,12,12,41,39,0,30.76923077,30.76923077
S116,long,UR,fine,URfine,15.78947368,,0.782214156,1,2,1,10,11,41,38,2.631578947,26.31578947,28.94736842
S117,long,UR,fine,URfine,70,,0.222222222,1,2,2,3,5,40,40,5,7.5,12.5
S118,long,UR,fine,URfine,17.07317073,,0.594512195,1,2,0,9,9,39,41,0,21.95121951,21.95121951
S119,long,UR,fine,URfine,30,,0.657142857,1,2,7,1,8,40,40,17.5,2.5,20
S120,long,UR,fine,URfine,15.78947368,,0.447368421,1,2,1,5,6,42,38,2.631578947,13.15789474,15.78947368
S121,long,UR,fine,URfine,15.38461538,,0.706959707,1,2,0,9,9,41,39,0,23.07692308,23.07692308
S122,long,UR,fine,URfine,28.57142857,,0.566137566,1,2,0,10,10,38,42,0,23.80952381,23.80952381
S123,long,UR,fine,URfine,30,,0.6925,1,2,16,2,18,40,40,40,5,45
